opcion_greedy,opcion_busqueda,cant_gim,cant_gim_mismo_costo,cant_poke,cap_mochila,tiempo_armado_grafo,tiempo_greedy,distancia_camino_greedy,tiempo_busqueda,distancia_camino,cant_mejoras,tiempo_swap,vecinos_prom
1,0,10,2,136,30,623604.000000,1090769.000000,47453.547373,39861262.000000,42460.414215,21,39692176.000000,28064
1,0,10,2,136,30,623604.000000,1104524.000000,47453.547373,39676526.000000,42460.414215,21,39525451.000000,28064
1,0,10,2,136,30,623604.000000,1088929.000000,47453.547373,39745923.000000,42460.414215,21,39611848.000000,28064
1,0,10,2,136,30,623604.000000,1101939.000000,47453.547373,39601268.000000,42460.414215,21,39473120.000000,28064
1,0,10,2,136,30,623604.000000,1102980.000000,47453.547373,39566988.000000,42460.414215,21,39452954.000000,28064
1,0,10,2,136,30,623604.000000,1088219.000000,47453.547373,39538217.000000,42460.414215,21,39439274.000000,28064
1,0,10,2,136,30,623604.000000,1094260.000000,47453.547373,39517371.000000,42460.414215,21,39431443.000000,28064
1,0,10,2,136,30,623604.000000,1081023.000000,47453.547373,39556313.000000,42460.414215,21,39465470.000000,28064
1,0,10,2,136,30,623604.000000,1090530.000000,47453.547373,39516041.000000,42460.414215,21,39431124.000000,28064
1,0,10,2,136,30,623604.000000,1081059.000000,47453.547373,39512836.000000,42460.414215,21,39427674.000000,28064
1,1,10,2,136,30,623180.000000,1136026.000000,47453.547373,287224.000000,47451.477670,1,169391.000000,4
1,1,10,2,136,30,623180.000000,1095179.000000,47453.547373,269679.000000,47451.477670,1,167795.000000,4
1,1,10,2,136,30,623180.000000,1086439.000000,47453.547373,247052.000000,47451.477670,1,167580.000000,4
1,1,10,2,136,30,623180.000000,1113910.000000,47453.547373,248423.000000,47451.477670,1,167610.000000,4
1,1,10,2,136,30,623180.000000,1082224.000000,47453.547373,247498.000000,47451.477670,1,167700.000000,4
1,1,10,2,136,30,623180.000000,1081564.000000,47453.547373,246638.000000,47451.477670,1,167881.000000,4
1,1,10,2,136,30,623180.000000,1090800.000000,47453.547373,247228.000000,47451.477670,1,167715.000000,4
1,1,10,2,136,30,623180.000000,1080769.000000,47453.547373,246217.000000,47451.477670,1,167726.000000,4
1,1,10,2,136,30,623180.000000,1081199.000000,47453.547373,246958.000000,47451.477670,1,167601.000000,4
1,1,10,2,136,30,623180.000000,1089549.000000,47453.547373,246563.000000,47451.477670,1,167685.000000,4
1,0,20,5,214,30,939229.000000,2659603.000000,78135.901625,73439877.000000,72315.279117,17,73270152.000000,51378
1,0,20,5,214,30,939229.000000,2657958.000000,78135.901625,73850354.000000,72315.279117,17,73662829.000000,51378
1,0,20,5,214,30,939229.000000,2667148.000000,78135.901625,73392193.000000,72315.279117,17,73247508.000000,51378
1,0,20,5,214,30,939229.000000,2702104.000000,78135.901625,73183551.000000,72315.279117,17,73037566.000000,51378
1,0,20,5,214,30,939229.000000,2654188.000000,78135.901625,73155980.000000,72315.279117,17,73042647.000000,51378
1,0,20,5,214,30,939229.000000,2648157.000000,78135.901625,73117674.000000,72315.279117,17,73002191.000000,51378
1,0,20,5,214,30,939229.000000,2650018.000000,78135.901625,73147990.000000,72315.279117,17,73036191.000000,51378
1,0,20,5,214,30,939229.000000,2649897.000000,78135.901625,73483181.000000,72315.279117,17,73328585.000000,51378
1,0,20,5,214,30,939229.000000,2705514.000000,78135.901625,73457565.000000,72315.279117,17,73272074.000000,51378
1,0,20,5,214,30,939229.000000,2682944.000000,78135.901625,73263619.000000,72315.279117,17,73115869.000000,51378
1,1,20,5,214,30,1030602.000000,2639858.000000,78135.901625,378357.000000,77995.190533,1,249822.000000,6
1,1,20,5,214,30,1030602.000000,2644117.000000,78135.901625,354551.000000,77995.190533,1,248823.000000,6
1,1,20,5,214,30,1030602.000000,2666554.000000,78135.901625,347391.000000,77995.190533,1,248713.000000,6
1,1,20,5,214,30,1030602.000000,2634768.000000,78135.901625,356296.000000,77995.190533,1,256378.000000,6
1,1,20,5,214,30,1030602.000000,2632767.000000,78135.901625,347491.000000,77995.190533,1,248553.000000,6
1,1,20,5,214,30,1030602.000000,2640543.000000,78135.901625,346726.000000,77995.190533,1,248653.000000,6
1,1,20,5,214,30,1030602.000000,2649268.000000,78135.901625,349311.000000,77995.190533,1,248078.000000,6
1,1,20,5,214,30,1030602.000000,2635097.000000,78135.901625,348176.000000,77995.190533,1,249312.000000,6
1,1,20,5,214,30,1030602.000000,2643532.000000,78135.901625,347871.000000,77995.190533,1,248178.000000,6
1,1,20,5,214,30,1030602.000000,2691359.000000,78135.901625,348591.000000,77995.190533,1,249708.000000,6
1,0,30,9,332,30,1589794.000000,6400190.000000,110378.348306,638860273.000000,103311.743352,71,638570539.000000,435886
1,0,30,9,332,30,1589794.000000,6307902.000000,110378.348306,623207693.000000,103311.743352,71,622985750.000000,435886
1,0,30,9,332,30,1589794.000000,6276920.000000,110378.348306,622286604.000000,103311.743352,71,622088838.000000,435886
1,0,30,9,332,30,1589794.000000,6291406.000000,110378.348306,622228252.000000,103311.743352,71,622037052.000000,435886
1,0,30,9,332,30,1589794.000000,6287151.000000,110378.348306,622795929.000000,103311.743352,71,622592212.000000,435886
1,0,30,9,332,30,1589794.000000,6273965.000000,110378.348306,622229672.000000,103311.743352,71,622039856.000000,435886
1,0,30,9,332,30,1589794.000000,6268720.000000,110378.348306,622664493.000000,103311.743352,71,622470514.000000,435886
1,0,30,9,332,30,1589794.000000,6272919.000000,110378.348306,622251778.000000,103311.743352,71,622064397.000000,435886
1,0,30,9,332,30,1589794.000000,6272254.000000,110378.348306,622246496.000000,103311.743352,71,622056940.000000,435886
1,0,30,9,332,30,1589794.000000,6274259.000000,110378.348306,622474347.000000,103311.743352,71,622278226.000000,435886
1,1,30,9,332,30,1581289.000000,6347362.000000,110378.348306,728212.000000,110378.348306,0,566837.000000,13
1,1,30,9,332,30,1581289.000000,6314145.000000,110378.348306,735663.000000,110378.348306,0,575433.000000,13
1,1,30,9,332,30,1581289.000000,6267629.000000,110378.348306,710022.000000,110378.348306,0,566102.000000,13
1,1,30,9,332,30,1581289.000000,6268374.000000,110378.348306,712122.000000,110378.348306,0,567502.000000,13
1,1,30,9,332,30,1581289.000000,6355197.000000,110378.348306,716757.000000,110378.348306,0,566188.000000,13
