opcion_greedy,opcion_busqueda,cant_gim,cant_gim_mismo_costo,cant_poke,cap_mochila,tiempo_armado_grafo,tiempo_greedy,distancia_camino_greedy,tiempo_busqueda,distancia_camino,cant_mejoras,tiempo_swap,vecinos_prom,largo
1,0,10,4,20,5,107000.000000,28000.000000,5928.234045,108000.000000,5233.298608,5,79000.000000,145,19
1,0,10,4,20,5,107000.000000,23000.000000,5928.234045,102000.000000,5233.298608,5,76000.000000,145,19
1,0,10,4,20,5,107000.000000,22000.000000,5928.234045,101000.000000,5233.298608,5,78000.000000,145,19
1,0,10,4,20,5,107000.000000,21000.000000,5928.234045,101000.000000,5233.298608,5,78000.000000,145,19
1,0,10,4,20,5,107000.000000,21000.000000,5928.234045,100000.000000,5233.298608,5,78000.000000,145,19
1,0,10,4,20,5,107000.000000,20000.000000,5928.234045,101000.000000,5233.298608,5,78000.000000,145,19
1,0,10,4,20,5,107000.000000,20000.000000,5928.234045,93000.000000,5233.298608,5,72000.000000,145,19
1,0,10,4,20,5,107000.000000,19000.000000,5928.234045,94000.000000,5233.298608,5,72000.000000,145,19
1,0,10,4,20,5,107000.000000,19000.000000,5928.234045,94000.000000,5233.298608,5,72000.000000,145,19
1,0,10,4,20,5,107000.000000,19000.000000,5928.234045,93000.000000,5233.298608,5,72000.000000,145,19
1,1,10,4,20,5,93000.000000,24000.000000,5928.234045,38000.000000,5543.339472,2,13000.000000,12,19
1,1,10,4,20,5,93000.000000,21000.000000,5928.234045,33000.000000,5543.339472,2,12000.000000,12,19
1,1,10,4,20,5,93000.000000,18000.000000,5928.234045,32000.000000,5543.339472,2,13000.000000,12,19
1,1,10,4,20,5,93000.000000,18000.000000,5928.234045,32000.000000,5543.339472,2,13000.000000,12,19
1,1,10,4,20,5,93000.000000,18000.000000,5928.234045,32000.000000,5543.339472,2,12000.000000,12,19
1,1,10,4,20,5,93000.000000,18000.000000,5928.234045,32000.000000,5543.339472,2,13000.000000,12,19
1,1,10,4,20,5,93000.000000,18000.000000,5928.234045,32000.000000,5543.339472,2,13000.000000,12,19
1,1,10,4,20,5,93000.000000,17000.000000,5928.234045,32000.000000,5543.339472,2,13000.000000,12,19
1,1,10,4,20,5,93000.000000,18000.000000,5928.234045,32000.000000,5543.339472,2,13000.000000,12,19
1,1,10,4,20,5,93000.000000,18000.000000,5928.234045,32000.000000,5543.339472,2,12000.000000,12,19
1,0,10,3,22,5,98000.000000,28000.000000,7332.093078,228000.000000,6421.277212,11,202000.000000,447,21
1,0,10,3,22,5,98000.000000,23000.000000,7332.093078,224000.000000,6421.277212,11,202000.000000,447,21
1,0,10,3,22,5,98000.000000,21000.000000,7332.093078,222000.000000,6421.277212,11,201000.000000,447,21
1,0,10,3,22,5,98000.000000,21000.000000,7332.093078,222000.000000,6421.277212,11,201000.000000,447,21
1,0,10,3,22,5,98000.000000,21000.000000,7332.093078,221000.000000,6421.277212,11,202000.000000,447,21
1,0,10,3,22,5,98000.000000,21000.000000,7332.093078,221000.000000,6421.277212,11,200000.000000,447,21
1,0,10,3,22,5,98000.000000,21000.000000,7332.093078,221000.000000,6421.277212,11,200000.000000,447,21
1,0,10,3,22,5,98000.000000,21000.000000,7332.093078,221000.000000,6421.277212,11,200000.000000,447,21
1,0,10,3,22,5,98000.000000,20000.000000,7332.093078,225000.000000,6421.277212,11,205000.000000,447,21
1,0,10,3,22,5,98000.000000,28000.000000,7332.093078,352000.000000,6421.277212,11,283000.000000,447,21
1,1,10,3,22,5,98000.000000,27000.000000,7332.093078,57000.000000,5524.436765,4,31000.000000,33,21
1,1,10,3,22,5,98000.000000,23000.000000,7332.093078,53000.000000,5524.436765,4,30000.000000,33,21
1,1,10,3,22,5,98000.000000,22000.000000,7332.093078,51000.000000,5524.436765,4,31000.000000,33,21
1,1,10,3,22,5,98000.000000,21000.000000,7332.093078,51000.000000,5524.436765,4,30000.000000,33,21
1,1,10,3,22,5,98000.000000,21000.000000,7332.093078,50000.000000,5524.436765,4,31000.000000,33,21
1,1,10,3,22,5,98000.000000,25000.000000,7332.093078,52000.000000,5524.436765,4,31000.000000,33,21
1,1,10,3,22,5,98000.000000,22000.000000,7332.093078,50000.000000,5524.436765,4,30000.000000,33,21
1,1,10,3,22,5,98000.000000,21000.000000,7332.093078,50000.000000,5524.436765,4,31000.000000,33,21
1,1,10,3,22,5,98000.000000,20000.000000,7332.093078,50000.000000,5524.436765,4,31000.000000,33,21
1,1,10,3,22,5,98000.000000,21000.000000,7332.093078,50000.000000,5524.436765,4,28000.000000,33,21
1,0,10,4,20,5,93000.000000,24000.000000,5625.383799,100000.000000,5195.710727,5,74000.000000,159,19
1,0,10,4,20,5,93000.000000,20000.000000,5625.383799,95000.000000,5195.710727,5,72000.000000,159,19
1,0,10,4,20,5,93000.000000,19000.000000,5625.383799,95000.000000,5195.710727,5,73000.000000,159,19
1,0,10,4,20,5,93000.000000,19000.000000,5625.383799,94000.000000,5195.710727,5,74000.000000,159,19
1,0,10,4,20,5,93000.000000,18000.000000,5625.383799,94000.000000,5195.710727,5,73000.000000,159,19
