gimnasios,pokeparadas,mochila,tiempo,distancia_original,distancia_final,cantidad_de_mejoras,iteraciones,gim_sacados
10,22,5,1.518e+06,7212.48,5921.12,1,5,5
20,44,5,6.333e+06,13469.3,10770.2,1,5,5
30,64,5,1.1613e+07,18376.3,16239.3,1,5,5
40,82,5,4.6548e+07,25886,21019,1,5,5
50,108,5,7.87e+07,31705.8,28782.9,1,5,5
60,134,5,1.60585e+08,38857.2,32634,1,5,5
70,152,5,3.82365e+08,46679.4,33899,2,5,5
80,170,5,4.4309e+08,52340.9,39872.4,1,5,5
90,188,5,5.63793e+08,55494.6,42576.1,2,5,5
100,206,5,9.25423e+08,61450.3,46293.3,1,5,5
110,226,5,9.99603e+08,66546.3,55823,1,5,5
120,246,5,1.43917e+09,69141.7,54589.3,1,5,5
130,268,5,1.69969e+09,80203.5,57513.8,1,5,5
140,288,5,1.99142e+09,85187.5,62869.6,2,5,5
10,22,5,2.821e+06,7212.48,5897.32,1,10,5
20,44,5,1.4609e+07,13469.3,11514.5,1,10,5
30,64,5,2.0714e+07,18376.3,17383.8,1,10,5
40,82,5,1.20871e+08,25886,21271,1,10,5
50,108,5,1.80116e+08,31705.8,29424.6,1,10,5
60,134,5,3.28789e+08,38857.2,31528.3,1,10,5
70,152,5,7.32467e+08,46679.4,35900.4,1,10,5
80,170,5,1.07738e+09,52340.9,38209.9,2,10,5
90,188,5,1.15669e+09,55494.6,43412.8,1,10,5
100,206,5,1.42237e+09,61450.3,45999.6,1,10,5
110,226,5,2.21941e+09,66546.3,50459.8,1,10,5
120,246,5,2.91424e+09,69141.7,54364.1,1,10,5
130,268,5,3.75644e+09,80203.5,58444.1,2,10,5
140,288,5,4.49481e+09,85187.5,61171.5,1,10,5
10,22,5,2.995e+06,7212.48,5957.11,1,15,5
20,44,5,1.7913e+07,13469.3,12259.8,1,15,5
30,64,5,4.9456e+07,18376.3,16651.7,1,15,5
40,82,5,1.18834e+08,25886,21328.8,2,15,5
50,108,5,2.18154e+08,31705.8,24928,1,15,5
60,134,5,5.96918e+08,38857.2,32804.4,1,15,5
70,152,5,9.43748e+08,46679.4,34073.8,2,15,5
80,170,5,1.16652e+09,52340.9,38697.1,1,15,5
90,188,5,2.15215e+09,55494.6,41061.4,2,15,5
100,206,5,2.47916e+09,61450.3,45784.9,2,15,5
110,226,5,3.32678e+09,66546.3,49854.6,2,15,5
120,246,5,4.13478e+09,69141.7,56225.4,3,15,5
130,268,5,4.83922e+09,80203.5,56516.1,1,15,5
140,288,5,6.44271e+09,85187.5,60656.9,3,15,5
10,22,5,5.38e+06,7212.48,5929.51,1,20,5
20,44,5,2.1989e+07,13469.3,10812,1,20,5
30,64,5,5.7476e+07,18376.3,15534,1,20,5
40,82,5,1.51896e+08,25886,20732.8,1,20,5
50,108,5,3.1431e+08,31705.8,26225.9,1,20,5
60,134,5,7.20978e+08,38857.2,30989.9,1,20,5
70,152,5,8.77313e+08,46679.4,33273,2,20,5
80,170,5,1.48715e+09,52340.9,39319.7,2,20,5
90,188,5,2.10993e+09,55494.6,40735.9,2,20,5
