gimnasios,pokeparadas,mochila,tiempo,distancia_original,distancia_final,cantidad_de_mejoras,iteraciones,gim_sacados
10,20,5,1.002e+06,5928.23,5928.23,0,5,5
10,22,5,1.289e+06,7332.09,5275.76,1,5,5
10,20,5,1.138e+06,5625.38,5170.33,1,5,5
10,26,5,2.568e+06,6751.18,5882.09,1,5,5
10,20,5,1.971e+06,8128.46,6316.8,1,5,5
20,42,5,6.74e+06,13523.3,9287.83,1,5,5
20,44,5,6.326e+06,11953.4,10918.4,1,5,5
20,40,5,4.172e+06,12509.2,10451,1,5,5
20,50,5,8.559e+06,11792.3,10795.7,1,5,5
20,40,5,4.215e+06,13564.7,10641.5,1,5,5
30,54,5,8.037e+06,18338,14073.5,1,5,5
30,56,5,1.0633e+07,20312.1,13486,1,5,5
30,56,5,1.3712e+07,16564.6,14976.3,1,5,5
30,64,5,1.6191e+07,18780,15412.4,1,5,5
30,62,5,1.7727e+07,18481.6,16022.7,1,5,5
40,80,5,4.2505e+07,24961.3,20481,1,5,5
40,80,5,4.1787e+07,24878.7,21878,1,5,5
40,82,5,3.5743e+07,23313.5,18530.7,1,5,5
40,70,5,3.2567e+07,23393.3,18819,1,5,5
40,82,5,2.89e+07,21875.4,16957.5,1,5,5
50,110,5,1.48299e+08,31067.3,23792.9,2,5,5
50,98,5,4.5785e+07,29183.9,24693.6,1,5,5
50,92,5,8.3121e+07,27321.5,22331.8,1,5,5
50,110,5,1.17184e+08,31727.4,23714.1,1,5,5
50,96,5,5.5772e+07,30804.4,24889.2,1,5,5
60,136,5,1.66569e+08,39283.2,29826.2,1,5,5
60,124,5,1.89441e+08,34991.4,27762.4,1,5,5
60,128,5,1.54456e+08,37825.4,31325.9,1,5,5
60,114,5,1.19256e+08,33407.8,26693.1,2,5,5
60,124,5,1.2389e+08,35988,28048.2,1,5,5
70,140,5,1.61026e+08,38758.4,31877.4,1,5,5
70,138,5,2.59762e+08,36581,29509.4,1,5,5
70,150,5,2.48984e+08,39687.1,30372.2,1,5,5
70,154,5,2.96393e+08,40602.4,30586.8,1,5,5
70,164,5,2.97885e+08,43652.7,37790,1,5,5
80,158,5,4.43305e+08,44609,33357.9,1,5,5
80,162,5,4.73189e+08,44942.5,35883.4,2,5,5
80,164,5,4.53612e+08,46653.5,37220.6,1,5,5
80,170,5,3.77678e+08,44838.7,34773.8,2,5,5
80,160,5,4.00621e+08,45738.6,34723.8,1,5,5
90,198,5,7.56568e+08,52172.1,39975.7,2,5,5
90,188,5,4.64666e+08,50236.2,40474.6,1,5,5
90,182,5,5.31308e+08,55493,40646.5,1,5,5
90,200,5,7.45037e+08,52120.1,37537.2,1,5,5
90,200,5,7.12863e+08,51130.1,43368.7,1,5,5
100,180,5,6.87435e+08,53618.2,38577.8,1,5,5
100,202,5,8.22679e+08,57047.2,42756,1,5,5
100,190,5,6.33739e+08,62542.7,44829,1,5,5
100,200,5,1.08218e+09,54577.5,43924.5,1,5,5
100,212,5,6.22992e+08,59297.3,51681.6,1,5,5
110,234,5,1.20229e+09,62899.7,46858,1,5,5
110,220,5,9.72521e+08,54805.2,45865.7,1,5,5
110,222,5,8.29948e+08,68732.6,52370.2,2,5,5
110,234,5,1.219e+09,65025.5,43493.5,2,5,5
110,224,5,9.93165e+08,64034,47781.6,1,5,5
120,244,5,1.33512e+09,69571.2,50696,2,5,5
120,234,5,1.41898e+09,72195.7,54307.7,1,5,5
120,230,5,1.20453e+09,71463.1,50934.7,2,5,5
120,246,5,1.59721e+09,66235.1,49175,2,5,5
120,246,5,1.19268e+09,66487.2,52562.4,1,5,5
130,250,5,1.56461e+09,73106,52302.8,2,5,5
130,248,5,1.41343e+09,75950.9,51157.8,1,5,5
130,260,5,1.43527e+09,70738.8,53927.8,2,5,5
130,274,5,2.2044e+09,71483,50044.9,1,5,5
130,262,5,1.61345e+09,73132.9,58683.2,2,5,5
140,292,5,2.14057e+09,80295,55347.2,1,5,5
140,294,5,2.27753e+09,75641.1,58948.3,2,5,5
140,282,5,2.14515e+09,77612,59407.6,2,5,5
140,272,5,1.97268e+09,74882.8,58859.1,1,5,5
140,284,5,2.19679e+09,72571.4,57433,3,5,5
10,20,5,2.649e+06,5928.23,5822.79,1,10,5
10,22,5,2.635e+06,7332.09,5688.84,1,10,5
10,20,5,1.994e+06,5625.38,5350.36,1,10,5
