Aristas,Distancia,Gimnasios,Mochila,Nodos,Pokeparadas,Tiempo
5,5,2,8,5,3,5585
5,5,2,8,5,3,4989
5,5,2,8,5,3,5093
5,5,2,8,5,3,3182
5,5,2,8,5,3,3605
5,5,2,8,5,3,3166
5,5,2,8,5,3,3429
5,5,2,8,5,3,2890
5,5,2,8,5,3,3771
5,5,2,8,5,3,3094
5,5,2,8,5,3,2787
5,5,2,8,5,3,3036
5,5,2,8,5,3,3193
5,5,2,8,5,3,2953
5,5,2,8,5,3,2830
5,5,2,8,5,3,2926
5,5,2,8,5,3,2892
5,5,2,8,5,3,2846
5,5,2,8,5,3,2977
5,5,2,8,5,3,3028
5,5,2,8,5,3,2986
5,5,2,8,5,3,3091
5,5,2,8,5,3,3068
5,5,2,8,5,3,3128
5,5,2,8,5,3,3020
5,5,2,8,5,3,2697
5,5,2,8,5,3,2688
5,5,2,8,5,3,2676
5,5,2,8,5,3,3151
5,5,2,8,5,3,2529
5,5,2,8,5,3,2862
5,5,2,8,5,3,2630
5,5,2,8,5,3,2805
5,5,2,8,5,3,2415
5,5,2,8,5,3,2629
5,5,2,8,5,3,2698
5,5,2,8,5,3,2706
5,5,2,8,5,3,2549
5,5,2,8,5,3,2841
5,5,2,8,5,3,2747
5,5,2,8,5,3,2914
5,5,2,8,5,3,2899
5,5,2,8,5,3,3325
5,5,2,8,5,3,3255
5,5,2,8,5,3,2470
5,5,2,8,5,3,2675
5,5,2,8,5,3,2720
5,5,2,8,5,3,2852
5,5,2,8,5,3,2855
5,5,2,8,5,3,2989
5,5,2,8,5,3,2726
5,5,2,8,5,3,2636
5,5,2,8,5,3,3478
5,5,2,8,5,3,2949
5,5,2,8,5,3,3110
5,5,2,8,5,3,2821
5,5,2,8,5,3,3128
5,5,2,8,5,3,3268
5,5,2,8,5,3,2677
5,5,2,8,5,3,2773
5,5,2,8,5,3,2938
5,5,2,8,5,3,2858
5,5,2,8,5,3,2644
5,5,2,8,5,3,2521
5,5,2,8,5,3,2773
5,5,2,8,5,3,3133
5,5,2,8,5,3,2754
5,5,2,8,5,3,2734
5,5,2,8,5,3,2780
5,5,2,8,5,3,2950
5,5,2,8,5,3,3008
5,5,2,8,5,3,2651
5,5,2,8,5,3,2830
5,5,2,8,5,3,2894
5,5,2,8,5,3,2326
5,5,2,8,5,3,2997
5,5,2,8,5,3,2888
5,5,2,8,5,3,2787
5,5,2,8,5,3,2872
5,5,2,8,5,3,2865
5,5,2,8,5,3,2558
5,5,2,8,5,3,2637
5,5,2,8,5,3,2762
5,5,2,8,5,3,2937
5,5,2,8,5,3,2917
5,5,2,8,5,3,3030
5,5,2,8,5,3,2815
5,5,2,8,5,3,2969
5,5,2,8,5,3,2944
5,5,2,8,5,3,2736
5,5,2,8,5,3,3016
5,5,2,8,5,3,2508
