opcion_greedy,opcion_busqueda,cant_gim,cant_gim_mismo_costo,cant_poke,cap_mochila,tiempo_armado_grafo,tiempo_greedy,distancia_camino_greedy,tiempo_busqueda,Distancia,cant_mejoras,tiempo_swap,vecinos_prom
1,0,2,0,1,4,16945.000000,5913.000000,11.180340,12210.000000,11.180340,0,321.000000,0
1,0,2,0,1,4,16945.000000,3550.000000,11.180340,8958.000000,11.180340,0,221.000000,0
1,0,2,0,1,4,16945.000000,3113.000000,11.180340,8271.000000,11.180340,0,220.000000,0
1,0,2,0,1,4,16945.000000,2994.000000,11.180340,8240.000000,11.180340,0,174.000000,0
1,0,2,0,1,4,16945.000000,3100.000000,11.180340,8238.000000,11.180340,0,205.000000,0
1,0,2,0,1,4,16945.000000,2979.000000,11.180340,8028.000000,11.180340,0,155.000000,0
1,0,2,0,1,4,16945.000000,2960.000000,11.180340,8098.000000,11.180340,0,161.000000,0
1,0,2,0,1,4,16945.000000,2998.000000,11.180340,8058.000000,11.180340,0,162.000000,0
1,0,2,0,1,4,16945.000000,2944.000000,11.180340,8033.000000,11.180340,0,153.000000,0
1,0,2,0,1,4,16945.000000,2904.000000,11.180340,8024.000000,11.180340,0,163.000000,0
1,1,2,0,1,4,27358.000000,9834.000000,11.180340,23472.000000,11.180340,0,609.000000,0
1,1,2,0,1,4,27358.000000,7788.000000,11.180340,9249.000000,11.180340,0,293.000000,0
1,1,2,0,1,4,27358.000000,3591.000000,11.180340,8507.000000,11.180340,0,222.000000,0
1,1,2,0,1,4,27358.000000,3414.000000,11.180340,8409.000000,11.180340,0,182.000000,0
1,1,2,0,1,4,27358.000000,3155.000000,11.180340,8373.000000,11.180340,0,172.000000,0
1,1,2,0,1,4,27358.000000,3310.000000,11.180340,8336.000000,11.180340,0,173.000000,0
1,1,2,0,1,4,27358.000000,3359.000000,11.180340,8659.000000,11.180340,0,180.000000,0
1,1,2,0,1,4,27358.000000,3409.000000,11.180340,8409.000000,11.180340,0,177.000000,0
1,1,2,0,1,4,27358.000000,3270.000000,11.180340,8281.000000,11.180340,0,174.000000,0
1,1,2,0,1,4,27358.000000,3267.000000,11.180340,8303.000000,11.180340,0,181.000000,0
1,0,2,0,1,4,12752.000000,4512.000000,7.335087,11109.000000,7.335087,0,261.000000,0
1,0,2,0,1,4,12752.000000,3498.000000,7.335087,8331.000000,7.335087,0,227.000000,0
1,0,2,0,1,4,12752.000000,3054.000000,7.335087,7774.000000,7.335087,0,166.000000,0
1,0,2,0,1,4,12752.000000,2972.000000,7.335087,7708.000000,7.335087,0,157.000000,0
1,0,2,0,1,4,12752.000000,3125.000000,7.335087,7739.000000,7.335087,0,148.000000,0
