opcion_greedy,opcion_busqueda,cant_gim,cant_gim_mismo_costo,cant_poke,cap_mochila,tiempo_armado_grafo,tiempo_greedy,distancia_camino_greedy,tiempo_busqueda,distancia_camino,cant_mejoras,tiempo_swap,vecinos_prom
1,0,20,5,27,11,214698.000000,114065.000000,2848.954597,3345122.000000,2614.338615,21,3269901.000000,2961
1,0,20,5,27,11,214698.000000,104862.000000,2848.954597,3417231.000000,2614.338615,21,3349938.000000,2961
1,0,20,5,27,11,214698.000000,111717.000000,2848.954597,3328446.000000,2614.338615,21,3264722.000000,2961
1,0,20,5,27,11,214698.000000,109988.000000,2848.954597,2635800.000000,2614.338615,21,2576564.000000,2961
1,0,20,5,27,11,214698.000000,53021.000000,2848.954597,1539779.000000,2614.338615,21,1496129.000000,2961
1,0,20,5,27,11,214698.000000,52190.000000,2848.954597,1522848.000000,2614.338615,21,1493156.000000,2961
1,0,20,5,27,11,214698.000000,50331.000000,2848.954597,1500869.000000,2614.338615,21,1473071.000000,2961
1,0,20,5,27,11,214698.000000,47279.000000,2848.954597,1478471.000000,2614.338615,21,1451427.000000,2961
1,0,20,5,27,11,214698.000000,55940.000000,2848.954597,1477089.000000,2614.338615,21,1449989.000000,2961
1,0,20,5,27,11,214698.000000,49858.000000,2848.954597,1517315.000000,2614.338615,21,1489614.000000,2961
1,1,20,5,27,11,211689.000000,113269.000000,2848.954597,272929.000000,2748.073280,3,196808.000000,85
1,1,20,5,27,11,211689.000000,105688.000000,2848.954597,259284.000000,2748.073280,3,196047.000000,85
1,1,20,5,27,11,211689.000000,109850.000000,2848.954597,256097.000000,2748.073280,3,196031.000000,85
1,1,20,5,27,11,211689.000000,109741.000000,2848.954597,276080.000000,2748.073280,3,213718.000000,85
1,1,20,5,27,11,211689.000000,48526.000000,2848.954597,113625.000000,2748.073280,3,87011.000000,85
1,1,20,5,27,11,211689.000000,55915.000000,2848.954597,112830.000000,2748.073280,3,86680.000000,85
1,1,20,5,27,11,211689.000000,48105.000000,2848.954597,112705.000000,2748.073280,3,86991.000000,85
1,1,20,5,27,11,211689.000000,48037.000000,2848.954597,116052.000000,2748.073280,3,89372.000000,85
1,1,20,5,27,11,211689.000000,49203.000000,2848.954597,115830.000000,2748.073280,3,89318.000000,85
1,1,20,5,27,11,211689.000000,49309.000000,2848.954597,115856.000000,2748.073280,3,89399.000000,85
1,0,20,5,27,11,116768.000000,65346.000000,2478.040573,1855949.000000,2097.468040,23,1808196.000000,2453
1,0,20,5,27,11,116768.000000,63516.000000,2478.040573,1387398.000000,2097.468040,23,1349135.000000,2453
1,0,20,5,27,11,116768.000000,51247.000000,2478.040573,1236487.000000,2097.468040,23,1207265.000000,2453
1,0,20,5,27,11,116768.000000,49103.000000,2478.040573,1226530.000000,2097.468040,23,1198059.000000,2453
1,0,20,5,27,11,116768.000000,49081.000000,2478.040573,1269755.000000,2097.468040,23,1242218.000000,2453
1,0,20,5,27,11,116768.000000,64443.000000,2478.040573,1221850.000000,2097.468040,23,1195153.000000,2453
1,0,20,5,27,11,116768.000000,48699.000000,2478.040573,1245423.000000,2097.468040,23,1210000.000000,2453
1,0,20,5,27,11,116768.000000,48872.000000,2478.040573,1222725.000000,2097.468040,23,1195690.000000,2453
1,0,20,5,27,11,116768.000000,48659.000000,2478.040573,1221805.000000,2097.468040,23,1194639.000000,2453
1,0,20,5,27,11,116768.000000,63582.000000,2478.040573,1208376.000000,2097.468040,23,1181281.000000,2453
1,1,20,5,27,11,209304.000000,115871.000000,2478.040573,256441.000000,2360.540828,3,184347.000000,69
1,1,20,5,27,11,209304.000000,114012.000000,2478.040573,246786.000000,2360.540828,3,183641.000000,69
1,1,20,5,27,11,209304.000000,111883.000000,2478.040573,264603.000000,2360.540828,3,202099.000000,69
1,1,20,5,27,11,209304.000000,49580.000000,2478.040573,108473.000000,2360.540828,3,81576.000000,69
