Aristas,Distancia,Gimnasios,Mochila,Nodos,Podas,Pokeparadas,Recursiones,Soluciones,Tiempo
3,11,2,4,3,1,1,6,1,4049
3,11,2,4,3,1,1,6,1,3788
3,11,2,4,3,1,1,6,1,1443
3,11,2,4,3,1,1,6,1,1461
3,11,2,4,3,1,1,6,1,522
3,7,2,4,3,1,1,6,1,3483
3,7,2,4,3,1,1,6,1,3763
3,7,2,4,3,1,1,6,1,1330
3,7,2,4,3,1,1,6,1,1300
3,7,2,4,3,1,1,6,1,575
3,9,2,4,3,1,1,6,1,3528
3,9,2,4,3,1,1,6,1,3823
3,9,2,4,3,1,1,6,1,1378
3,9,2,4,3,1,1,6,1,1493
3,9,2,4,3,1,1,6,1,1150
3,10,2,4,3,0,1,6,2,3580
3,10,2,4,3,0,1,6,2,3807
3,10,2,4,3,0,1,6,2,1374
3,10,2,4,3,0,1,6,2,1513
3,10,2,4,3,0,1,6,2,1063
3,12,2,4,3,1,1,6,1,3353
3,12,2,4,3,1,1,6,1,3610
3,12,2,4,3,1,1,6,1,1424
3,12,2,4,3,1,1,6,1,1350
3,12,2,4,3,1,1,6,1,1051
5,12,3,4,5,24,2,62,4,10303
5,12,3,4,5,24,2,62,4,4429
5,12,3,4,5,24,2,62,4,3122
5,12,3,4,5,24,2,62,4,2520
5,12,3,4,5,24,2,62,4,2394
5,20,3,4,5,19,2,71,4,12521
5,20,3,4,5,19,2,71,4,11528
5,20,3,4,5,19,2,71,4,6617
5,20,3,4,5,19,2,71,4,5761
5,20,3,4,5,19,2,71,4,5407
5,18,3,4,5,21,2,72,3,12052
5,18,3,4,5,21,2,72,3,11586
5,18,3,4,5,21,2,72,3,6842
5,18,3,4,5,21,2,72,3,5527
5,18,3,4,5,21,2,72,3,5292
5,20,3,4,5,20,2,80,4,13708
5,20,3,4,5,20,2,80,4,12147
5,20,3,4,5,20,2,80,4,7703
5,20,3,4,5,20,2,80,4,6270
5,20,3,4,5,20,2,80,4,6164
5,15,3,4,5,18,2,67,6,10132
5,15,3,4,5,18,2,67,6,9549
5,15,3,4,5,18,2,67,6,5665
5,15,3,4,5,18,2,67,6,4596
5,15,3,4,5,18,2,67,6,4543
7,24,4,4,7,600,3,1423,15,121129
7,24,4,4,7,600,3,1423,15,116990
7,24,4,4,7,600,3,1423,15,99732
7,24,4,4,7,600,3,1423,15,94070
7,24,4,4,7,600,3,1423,15,91654
7,23,4,4,7,630,3,1308,4,72467
7,23,4,4,7,630,3,1308,4,66548
7,23,4,4,7,630,3,1308,4,56919
7,23,4,4,7,630,3,1308,4,53386
7,23,4,4,7,630,3,1308,4,51858
7,22,4,4,7,527,3,1105,7,96311
7,22,4,4,7,527,3,1105,7,104370
7,22,4,4,7,527,3,1105,7,72742
7,22,4,4,7,527,3,1105,7,67478
7,22,4,4,7,527,3,1105,7,66065
7,18,4,4,7,381,3,776,13,85834
7,18,4,4,7,381,3,776,13,76994
7,18,4,4,7,381,3,776,13,62742
7,18,4,4,7,381,3,776,13,55668
7,18,4,4,7,381,3,776,13,53118
7,16,4,4,7,395,3,733,7,74005
7,16,4,4,7,395,3,733,7,67414
7,16,4,4,7,395,3,733,7,50031
7,16,4,4,7,395,3,733,7,45588
7,16,4,4,7,395,3,733,7,44260
8,28,5,4,8,1722,3,3959,9,397289
8,28,5,4,8,1722,3,3959,9,381535
8,28,5,4,8,1722,3,3959,9,347701
8,28,5,4,8,1722,3,3959,9,333464
8,28,5,4,8,1722,3,3959,9,331139
8,26,5,4,8,1585,3,3262,13,190069
8,26,5,4,8,1585,3,3262,13,290902
8,26,5,4,8,1585,3,3262,13,269458
8,26,5,4,8,1585,3,3262,13,263362
8,26,5,4,8,1585,3,3262,13,261715
8,23,5,4,8,2026,3,4716,9,473305
8,23,5,4,8,2026,3,4716,9,458591
8,23,5,4,8,2026,3,4716,9,429108
8,23,5,4,8,2026,3,4716,9,421942
8,23,5,4,8,2026,3,4716,9,420025
8,32,5,4,8,1631,3,4610,15,487577
8,32,5,4,8,1631,3,4610,15,451413
8,32,5,4,8,1631,3,4610,15,439646
8,32,5,4,8,1631,3,4610,15,434969
8,32,5,4,8,1631,3,4610,15,433154
8,22,5,4,8,1914,3,4351,16,425672
8,22,5,4,8,1914,3,4351,16,405004
8,22,5,4,8,1914,3,4351,16,398596
8,22,5,4,8,1914,3,4351,16,393608
8,22,5,4,8,1914,3,4351,16,390524
10,38,6,4,10,63528,4,113713,34,10036867
10,38,6,4,10,63528,4,113713,34,5984398
10,38,6,4,10,63528,4,113713,34,5803146
10,38,6,4,10,63528,4,113713,34,5557006
10,38,6,4,10,63528,4,113713,34,5401627
10,50,6,4,10,66476,4,117417,23,4902715
10,50,6,4,10,66476,4,117417,23,6204300
10,50,6,4,10,66476,4,117417,23,6448964
10,50,6,4,10,66476,4,117417,23,5017458
10,50,6,4,10,66476,4,117417,23,4753016
10,46,6,4,10,68686,4,129069,31,6387612
10,46,6,4,10,68686,4,129069,31,10798509
10,46,6,4,10,68686,4,129069,31,7214813
10,46,6,4,10,68686,4,129069,31,5395762
10,46,6,4,10,68686,4,129069,31,5430033
10,44,6,4,10,30237,4,48865,40,4121014
10,44,6,4,10,30237,4,48865,40,3008638
10,44,6,4,10,30237,4,48865,40,2332984
10,44,6,4,10,30237,4,48865,40,2262338
10,44,6,4,10,30237,4,48865,40,2258592
10,47,6,4,10,45995,4,75563,13,3606946
10,47,6,4,10,45995,4,75563,13,3641044
10,47,6,4,10,45995,4,75563,13,3638802
10,47,6,4,10,45995,4,75563,13,3339896
10,47,6,4,10,45995,4,75563,13,3200945
12,65,7,4,12,1399638,5,2075130,41,80743414
12,65,7,4,12,1399638,5,2075130,41,78821144
12,65,7,4,12,1399638,5,2075130,41,80225850
12,65,7,4,12,1399638,5,2075130,41,79604451
12,65,7,4,12,1399638,5,2075130,41,78323229
12,63,7,4,12,1372010,5,2035474,36,78416987
12,63,7,4,12,1372010,5,2035474,36,80779494
12,63,7,4,12,1372010,5,2035474,36,76317637
12,63,7,4,12,1372010,5,2035474,36,76333783
12,63,7,4,12,1372010,5,2035474,36,75729946
12,55,7,4,12,358211,5,498367,39,23296898
12,55,7,4,12,358211,5,498367,39,25604384
12,55,7,4,12,358211,5,498367,39,17657567
12,55,7,4,12,358211,5,498367,39,17124178
12,55,7,4,12,358211,5,498367,39,17627402
12,63,7,4,12,913792,5,1337631,43,53939954
12,63,7,4,12,913792,5,1337631,43,57246245
12,63,7,4,12,913792,5,1337631,43,50457811
12,63,7,4,12,913792,5,1337631,43,49691324
12,63,7,4,12,913792,5,1337631,43,50600326
12,60,7,4,12,347538,5,474512,26,17490655
12,60,7,4,12,347538,5,474512,26,17758031
12,60,7,4,12,347538,5,474512,26,16918012
12,60,7,4,12,347538,5,474512,26,16307913
12,60,7,4,12,347538,5,474512,26,16285062
13,85,8,4,13,7476557,5,11279283,36,456717009
13,85,8,4,13,7476557,5,11279283,36,463667255
13,85,8,4,13,7476557,5,11279283,36,453930888
13,85,8,4,13,7476557,5,11279283,36,444600256
13,85,8,4,13,7476557,5,11279283,36,474231555
13,93,8,4,13,14978897,5,25674607,57,1167336158
13,93,8,4,13,14978897,5,25674607,57,1162517767
13,93,8,4,13,14978897,5,25674607,57,1150932121
13,93,8,4,13,14978897,5,25674607,57,1140426205
13,93,8,4,13,14978897,5,25674607,57,1144125078
13,101,8,4,13,8530904,5,13168374,22,535849907
13,101,8,4,13,8530904,5,13168374,22,537496703
13,101,8,4,13,8530904,5,13168374,22,529777328
13,101,8,4,13,8530904,5,13168374,22,530200165
13,101,8,4,13,8530904,5,13168374,22,529803373
13,79,8,4,13,2907313,5,4200779,36,163902201
13,79,8,4,13,2907313,5,4200779,36,162999126
13,79,8,4,13,2907313,5,4200779,36,157570043
13,79,8,4,13,2907313,5,4200779,36,158122865
13,79,8,4,13,2907313,5,4200779,36,157986863
13,89,8,4,13,5711605,5,8535785,40,329141667
13,89,8,4,13,5711605,5,8535785,40,333240566
13,89,8,4,13,5711605,5,8535785,40,327429078
13,89,8,4,13,5711605,5,8535785,40,328129396
13,89,8,4,13,5711605,5,8535785,40,327411015
15,95,9,5,15,60293445,6,77506302,38,2444630015
15,95,9,5,15,60293445,6,77506302,38,2442653119
15,95,9,5,15,60293445,6,77506302,38,2440514281
15,95,9,5,15,60293445,6,77506302,38,2440448530
15,95,9,5,15,60293445,6,77506302,38,2440080683
15,112,9,5,15,316798210,6,436562839,45,15756754176
15,112,9,5,15,316798210,6,436562839,45,15903826841
15,112,9,5,15,316798210,6,436562839,45,15748978812
15,112,9,5,15,316798210,6,436562839,45,15890138152
15,112,9,5,15,316798210,6,436562839,45,15760167817
15,134,9,5,15,383817641,6,552754900,61,21085680379
15,134,9,5,15,383817641,6,552754900,61,21085595319
15,134,9,5,15,383817641,6,552754900,61,21080928621
15,134,9,5,15,383817641,6,552754900,61,21274542968
15,134,9,5,15,383817641,6,552754900,61,21380146703
15,116,9,5,15,180818887,6,241093011,37,8316884336
15,116,9,5,15,180818887,6,241093011,37,8284336663
15,116,9,5,15,180818887,6,241093011,37,8313222027
15,116,9,5,15,180818887,6,241093011,37,8273918828
15,116,9,5,15,180818887,6,241093011,37,8311396493
15,136,9,5,15,240192589,6,328781248,36,11672592358
15,136,9,5,15,240192589,6,328781248,36,11701768026
15,136,9,5,15,240192589,6,328781248,36,11664113448
15,136,9,5,15,240192589,6,328781248,36,11662644716
15,136,9,5,15,240192589,6,328781248,36,11667254577
