Aristas,Distancia,Gimnasios,Mochila,Nodos,Pokeparadas,Tiempo
3,11,2,4,3,1,3642
3,11,2,4,3,1,2343
3,11,2,4,3,1,899
3,11,2,4,3,1,799
3,11,2,4,3,1,837
3,7,2,4,3,1,5109
3,7,2,4,3,1,2942
3,7,2,4,3,1,1227
3,7,2,4,3,1,745
3,7,2,4,3,1,743
3,9,2,4,3,1,4986
3,9,2,4,3,1,3177
3,9,2,4,3,1,1275
3,9,2,4,3,1,779
3,9,2,4,3,1,779
3,16,2,4,3,1,4851
3,16,2,4,3,1,3160
3,16,2,4,3,1,1326
3,16,2,4,3,1,764
3,16,2,4,3,1,774
3,12,2,4,3,1,5023
3,12,2,4,3,1,2731
3,12,2,4,3,1,1245
3,12,2,4,3,1,1128
3,12,2,4,3,1,1150
5,16,3,4,5,2,5764
5,16,3,4,5,2,3184
5,16,3,4,5,2,847
5,16,3,4,5,2,775
5,16,3,4,5,2,771
5,28,3,4,5,2,6161
5,28,3,4,5,2,3468
5,28,3,4,5,2,1578
5,28,3,4,5,2,1524
5,28,3,4,5,2,1521
5,27,3,4,5,2,5673
5,27,3,4,5,2,3452
5,27,3,4,5,2,1559
5,27,3,4,5,2,1398
5,27,3,4,5,2,1401
5,22,3,4,5,2,5770
5,22,3,4,5,2,3325
5,22,3,4,5,2,1511
5,22,3,4,5,2,1383
5,22,3,4,5,2,1438
5,37,3,4,5,2,5903
5,37,3,4,5,2,3270
5,37,3,4,5,2,1626
5,37,3,4,5,2,1486
5,37,3,4,5,2,1458
7,29,4,4,7,3,6003
7,29,4,4,7,3,3592
7,29,4,4,7,3,1692
7,29,4,4,7,3,1521
7,29,4,4,7,3,1509
7,25,4,4,7,3,3522
7,25,4,4,7,3,3270
7,25,4,4,7,3,1626
7,25,4,4,7,3,1493
7,25,4,4,7,3,1464
7,38,4,4,7,3,6304
7,38,4,4,7,3,3555
7,38,4,4,7,3,1692
7,38,4,4,7,3,1646
7,38,4,4,7,3,1738
7,35,4,4,7,3,6207
7,35,4,4,7,3,3458
7,35,4,4,7,3,1862
7,35,4,4,7,3,1476
7,35,4,4,7,3,1539
7,37,4,4,7,3,6166
7,37,4,4,7,3,3430
7,37,4,4,7,3,1634
7,37,4,4,7,3,1508
7,37,4,4,7,3,1459
8,47,5,4,8,3,6219
8,47,5,4,8,3,3796
8,47,5,4,8,3,1744
8,47,5,4,8,3,1611
8,47,5,4,8,3,1491
8,35,5,4,8,3,6242
8,35,5,4,8,3,3674
8,35,5,4,8,3,1774
8,35,5,4,8,3,1611
8,35,5,4,8,3,1591
8,31,5,4,8,3,5337
8,31,5,4,8,3,3914
